"Наименование","Model","Type","MaxPwr","Порт1","Порт2","Адрес","Lat","Long","Описание станции","Тариф","Описание тарифа","Проблемы"
"Keruen Medicus №2","ABB","ac-3","22","Socket Type 2","отсутствует","Bukhar-Zhyrau Blvd 45, Almaty 050000, Kazakhstan","43.231778626166275","76.91450396322507","🏥Медицинский Центр
⏰ Доступ 08:00 - 20:00
✅ Для всех видов машин* (необходим свой кабель)
💎 Бесплатно (Приоритет - клиенты медцентра)","[0,00 KZT]","","места для электричек часто заняты клиентами медцентра"
"Lexus Almaty AC","ABB","ac-3","22","Socket Type 2","отсутствует","Lexus Almaty AC","43.21441","76.924121","🚗 Автосалон Lexus Almaty
🇪🇺 универсальная Type-2
☕ Кафе, зона отдыха
🆕 Заходите посмотреть на новую Электрическую модель Lexus","[85 KZT] Базовый тариф","",""
"Lexus Almaty DC","ABB","dc","90","CCS2","CCS2","Lexus DC","43.214435","76.924057","🚗 Автосалон Lexus Almaty
🇪🇺 2 порта CCS2
☕ Кафе, зона отдыха
🆕 Заходите посмотреть на новую Электрическую модель Lexus","[85 KZT] Базовый тариф","",""
"Porsche Essentai Mall #1 (0165)","StarCharge","ac-3","22","Socket Type 2","отсутствует","6W9H+86R, Almaty 050060, Kazakhstan","43.21811","76.928235290482","🅿️ Уровень 1
⏱️ Круглосуточный доступ
❗ Универсальная, необдохим кабель для подключения!
🪙 Тариф 100тг
📍 Слева, если смотреть лицом на них","[200 KZT + Porsche free]","200 тенге, кроме владельцев карты Porsche
0 тенге владельцам карты Porsche",""
"Porsche Essentai Mall #2","ABB","ac-3","22","Cable Type 2","отсутствует","Al-Farabi Avenue 77/8, Almaty 050060, Kazakhstan","43.2179206654445","76.927978330806","🅿️ Уровень 1
⏱️ Круглосуточный доступ
🇪🇺 Для Европейских машин
🪙 Тариф 100тг
📍 Справа, если смотреть лицом на них","[200 KZT + Porsche free]","200 тенге, кроме владельцев карты Porsche
0 тенге владельцам карты Porsche",""
"Porsche NAi Hair Hotel","ABB","ac-3","22","Cable Type 2","отсутствует","ул. Кабанбай батыра, 85, г. Алматы, РК","43.250015","76.944382","⏰ Доступ 24/7
🇪🇺 Для Европейских машин
🏨 Гостиница
🍴 Рестораны и кафе
👨‍👩‍👦‍👦 Отдых для всей семьи","100 KZT / kWh + EngineerFree + PorscheFree","",""
"Porsche Ritz-Carlton #1","ABB","ac-3","22","Cable Type 2","отсутствует","Al-Farabi Avenue 77/3, Almaty, Kazakhstan","43.21968","76.930173","⏱️ Круглосуточный доступ
🇪🇺 Для Европейских машин
💎 Бесплатно","[0,00 KZT]","",""
"Porsche Ritz-Carlton #2","ABB","ac-3","22","Cable Type 2","отсутствует","Al-Farabi Avenue 77/3, Almaty, Kazakhstan","43.219637","76.930104","⏱️ Круглосуточный доступ
🇪🇺 Для Европейских машин
💎 Бесплатно","[0,00 KZT]","",""
"Porsche Ritz-Carlton #3","ABB","ac-3","22","Cable Type 2","отсутствует","Al-Farabi Avenue 77/3, Almaty, Kazakhstan","43.219625","76.930085","⏱️ Круглосуточный доступ
🇪🇺 Для Европейских машин
💎 Бесплатно","[0,00 KZT]","",""
"SOKOL Colibri 180CC","StarCharge","dc","180","CCS2","CCS2","6XR3+3M4, Kurmangazy St, Almaty 050000, Kazakhstan","43.240188","76.954472","🔥🔥 Действует система динамической тарификации.
🇪🇺 🇪🇺 для электромобилей с Европейским разъемом.
На территории ТЦ Colibri есть:
- продуктовый магазин;
- рестораны и кофейни;","[125-220]Dynamic Tariff","⚡️ Средние тарифы по времени суток

🌙 Ночь (00:00 - 08:00) — тариф: 125 ₸/кВт·ч до 20 кВт·ч. Свыше 20 кВт·ч тариф: 140 ₸/кВт·ч 
🌞 День (08:00 - 18:00) — тариф: 150 ₸/кВт·ч
⏰ Пик (18:00 - 20:00) — тариф: 190 ₸/кВт·ч до 30 мин.  > 20 кВт.  Дольше 30 мин. < 20 кВт тариф: 220 ₸/кВт·ч
🌆 Вечер (20:00 - 00:00) — тариф: 165 ₸/кВт·ч

🔺 Тариф повышается при медленной зарядке более 30 минут (до 20 кВт). ⏳ Дайте другим зарядиться быстрее! 🚗⚡","дополнительно клиент оплачивает парковку в ТРЦ"
"SOKOL Colibri 180GG","StarCharge","dc","180","GBT","GBT","Valikhanov St 170, Almaty 050000, Kazakhstan","43.24020706309853","76.9547417393747","🔥🔥 Действует система динамической тарификации.
 🇨🇳 🇨🇳 для электромобилей с Китайским разъемом.
На территории ТЦ Colibri есть:
- продуктовый магазин;
- рестораны и кофейни;","[125-220]Dynamic Tariff","⚡️ Средние тарифы по времени суток

🌙 Ночь (00:00 - 08:00) — тариф: 125 ₸/кВт·ч до 20 кВт·ч. Свыше 20 кВт·ч тариф: 140 ₸/кВт·ч 
🌞 День (08:00 - 18:00) — тариф: 150 ₸/кВт·ч
⏰ Пик (18:00 - 20:00) — тариф: 190 ₸/кВт·ч до 30 мин.  > 20 кВт.  Дольше 30 мин. < 20 кВт тариф: 220 ₸/кВт·ч
🌆 Вечер (20:00 - 00:00) — тариф: 165 ₸/кВт·ч

🔺 Тариф повышается при медленной зарядке более 30 минут (до 20 кВт). ⏳ Дайте другим зарядиться быстрее! 🚗⚡","дополнительно клиент оплачивает парковку в ТРЦ"
"SOKOL Metro C&C AC # 1 - медленная","ABB","ac-3","22","Cable Type 2","отсутствует","Sain St 16, Almaty 050031, Kazakhstan","43.24020438349764","76.8410741538254","🪫  Для машин с низким уровнем заряда
🛒Магазин Metro Cash&Carry
☕ Кофейня
🅿️ Большая парковка
🇪🇺 Европейские машины
📊 Динамический тариф (подробности в описании тарифа)","[70 KZT] Сервис инженеры БЕСПЛАТНО","","иногда пропадает связь"
"SOKOL Metro C&C AC # 2 - медленная","ABB","ac-3","22","Cable Type 2","отсутствует","Sain St 16, Almaty 050031, Kazakhstan","43.240244480584415","76.84104557729813","🪫  Для машин с низким уровнем заряда
🛒Магазин Metro Cash&Carry
☕ Кофейня
🅿️ Большая парковка
🇪🇺 Европейские машины
📊 Динамический тариф (подробности в описании тарифа)","[70 KZT] Сервис инженеры БЕСПЛАТНО","","иногда пропадает связь"
"SOKOL StarCharge Metro Cash&Carry 180GG","StarCharge","dc","180","GBT","GBT","Sain St 16, Almaty 050031, Kazakhstan","43.24033319583044","76.84101933487214","🛒Магазин Metro Cash&Carry
☕ Кофейня
🅿️ Большая парковка
🇨🇳 Китайские машины
📊 Динамический тариф (подробности в описании тарифа)","[80-130 KZT] Base Dynamic","⚡️ Средние тарифы по времени суток

🌙 Ночь (00:00 - 08:00) — тариф: 80 тенге/кВт·ч до 20 кВт·ч. Свыше 20 кВт·ч тариф: 90 тенге/кВт·ч 
🌞 День (08:00 - 18:00) — тариф: 95 тенге/кВт·ч
⏰ Пик (18:00 - 20:00) — тариф: 110 тенге/кВт·ч до 30 мин.  > 20 кВт.  Дольше 30 мин. < 20 кВт тариф: 130 тенге /кВт·ч
🌆 Вечер (20:00 - 00:00) — тариф: 95 тенге/кВт·ч

🔺 Тариф повышается при медленной зарядке более 30 минут (до 20 кВт). ⏳ Дайте другим зарядиться быстрее! 🚗⚡","иногда пропадает связь"
"StarCharge Metro Cash&Carry 180 CG","StarCharge","dc","180","CCS2","GBT","Sain St 16, Almaty 050031, Kazakhstan","43.2401","76.8411","🛒Магазин Metro Cash&Carry
☕ Кофейня
🅿️ Большая парковка
🇨🇳 Китайские машины
🇪🇺 Европейские машины
📊 Динамический тариф (подробности в описании тарифа)","[80-130 KZT] Base Dynamic","⚡️ Средние тарифы по времени суток

🌙 Ночь (00:00 - 08:00) — тариф: 80 тенге/кВт·ч до 20 кВт·ч. Свыше 20 кВт·ч тариф: 90 тенге/кВт·ч 
🌞 День (08:00 - 18:00) — тариф: 95 тенге/кВт·ч
⏰ Пик (18:00 - 20:00) — тариф: 110 тенге/кВт·ч до 30 мин.  > 20 кВт.  Дольше 30 мин. < 20 кВт тариф: 130 тенге /кВт·ч
🌆 Вечер (20:00 - 00:00) — тариф: 95 тенге/кВт·ч

🔺 Тариф повышается при медленной зарядке более 30 минут (до 20 кВт). ⏳ Дайте другим зарядиться быстрее! 🚗⚡","иногда пропадает связь"
"SuperCharger727_120GG","CN.TH","dc","120","GBT","GBT","9-й микрорайон, 42Б, Ауэзовский район, Almaty, Kazakhstan","43.21421","76.8631","Круглосуточно и быстро заряжаем любые автомобили из Китая  🇨🇳 
Чем порадуем: 
Открытие ворот - через приложение (обратитесь к администратору) 
Чистая территория/место для курения 
Крытая парковка 🅿️ (защита от погодных условий) 
Кофе ☕️/Киоск самообслуживания (сэндвичи, обеды, напитки) 
Зал ожидания внутри и снаружи   
Туалет 🚾","100 KZT / kWh + EngineerFree","",""
"Аристократ №1 60GC","StarCharge","dc","60","CCS2","GBT","R3W5+RC5, Konaev, Kazakhstan","43.846856377425716","77.05931500438996","🏙️ Современный ЖК Аристократ в городе Конаев
📲 Отдел продаж +7 747 331 31 31
✅ Первая очередь уже сдана","70 kzt + 0 KZT service tag","",""
"Аристократ №1 АС","StarCharge","ac-3","22","Socket Type 2","отсутствует","R3W5+RC5, Konaev, Kazakhstan","43.84670278644167","77.05918686162508","🏙️ Современный ЖК Аристократ в городе Конаев
📲 Отдел продаж +7 747 331 31 31
✅ Первая очередь уже сдана","70 kzt + 0 KZT service tag","",""
"Аристократ №2 60GC","StarCharge","dc","60","CCS2","GBT","R3W5+RC5, Konaev, Kazakhstan","43.84625942077068","77.05897349143956","🏙️ Современный ЖК Аристократ в городе Конаев
📲 Отдел продаж +7 747 331 31 31
✅ Первая очередь уже сдана","70 kzt + 0 KZT service tag","",""
"Аристократ №2 АС","StarCharge","ac-3","22","Socket Type 2","отсутствует","R3W5+RC5, Konaev, Kazakhstan","43.84654571310142","77.05908822315936","🏙️ Современный ЖК Аристократ в городе Конаев
📲 Отдел продаж +7 747 331 31 31
✅ Первая очередь уже сдана","70 kzt + 0 KZT service tag","",""
"Думан 1 25кВт Быстрая","StarCharge","dc","25","GBT","отсутствует","Грин Сити","43.287695","77.005774","⏰ Доступ 24/7 (ограниченный доступ)
Станция доступна для жильцов ЖК и их Гостей.
Коннектор для Китайских машин
❗ Устанавливаем ЗС дома и для бизнеса по телефону
+7 701 572 1490","[85 KZT] Базовый тариф","","только для жителей и гостей ЖК"
"Думан 1 7кВт кабельная Type 2","ABB","ac-3","11","Cable Type 2","отсутствует","Грин Сити","43.287648","77.005152","⏰ Доступ 24/7 (ограниченный доступ)
Станция доступна для жильцов ЖК и их Гостей.
🇪🇺 Для Европейских машин
❗ Устанавливаем ЗС дома и для бизнеса по телефону
+7 701 572 1490","[70 KZT] Сервис инженеры БЕСПЛАТНО","","только для жителей и гостей ЖК"
"Думан 2 25кВт Быстрая","StarCharge","dc","25","GBT","отсутствует","Грин Сити","43.287855","77.006568","⏰ Доступ 24/7 (ограниченный доступ)
Станция доступна для жильцов ЖК и их Гостей.
Коннектор для Китайских машин. 
❗ Устанавливаем ЗС дома и для бизнеса по телефону
+7 701 572 1490","[85 KZT] Базовый тариф","","только для жителей и гостей ЖК"
"Думан 2 AC 7 кВт","ABB","ac-3","22","Socket Type 2","отсутствует","Грин Сити","43.287632","77.005425","⏰ Доступ 24/7 (ограниченный доступ)
Станция доступна для жильцов ЖК и их Гостей.
🇪🇺 Для Европейских машин
❗ Устанавливаем ЗС дома и для бизнеса по телефону
+7 701 572 1490","[70 KZT] Сервис инженеры БЕСПЛАТНО","","только для жителей и гостей ЖК"
"Думан 3 АС 7кВт кабельная","ABB","ac-3","11","Cable Type 2","отсутствует","Грин Сити","43.287679","77.006053","⏰ Доступ 24/7 (ограниченный доступ)
Станция доступна для жильцов ЖК и их Гостей.
🇪🇺 Для Европейских машин
❗ Устанавливаем ЗС дома и для бизнеса по телефону
+7 701 572 1490","[70 KZT] Сервис инженеры БЕСПЛАТНО","","только для жителей и гостей ЖК"
"Думан 4 AC 7 кВт","ABB","ac-3","22","Socket Type 2","отсутствует","57, Almaty, Kazakhstan","43.287796","77.006321","⏰ Доступ 24/7 (ограниченный доступ)
Станция доступна для жильцов ЖК и их Гостей.
🇪🇺 Для Европейских машин
❗ Устанавливаем ЗС дома и для бизнеса по телефону
+7 701 572 1490","[70 KZT] Сервис инженеры БЕСПЛАТНО","","только для жителей и гостей ЖК"
"Император SC 180 GBT (7711)","StarCharge","dc","180","GBT","GBT","Улица Архат, 1304, Алматы, Казахстан","43.161096","76.88613","🔥🔥 Действует система динамической тарификации.
 🇨🇳 🇨🇳 для электромобилей с Китайским разъемом.
Мощность станции 180 кВт.","[Dynamic 80-130 KZT]","⚡️ Средние тарифы по времени суток

🌙 Ночь (00:00 - 08:00) — тариф: 80 тенге/кВт·ч до 20 кВт·ч. Свыше 20 кВт·ч тариф: 90 тенге/кВт·ч 
🌞 День (08:00 - 18:00) — тариф: 95 тенге/кВт·ч
⏰ Пик (18:00 - 20:00) — тариф: 110 тенге/кВт·ч до 30 мин.  > 20 кВт.  Дольше 30 мин. < 20 кВт тариф: 130 тенге /кВт·ч
🌆 Вечер (20:00 - 00:00) — тариф: 95 тенге/кВт·ч

🔺 Тариф повышается при медленной зарядке более 30 минут (до 20 кВт). ⏳ Дайте другим зарядиться быстрее! 🚗⚡","часто пропадает связь"
"Император SC 180 GBT (7712) (ближе к главному входу)","StarCharge","dc","180","GBT","GBT","Улица Архат, 1304, Алматы, Казахстан","43.16084","76.885208","🔥🔥 Действует система динамической тарификации.
 🇨🇳 🇨🇳 для электромобилей с Китайским разъемом.
Мощность станции 180 кВт.","[Dynamic 80-130 KZT]","⚡️ Средние тарифы по времени суток

🌙 Ночь (00:00 - 08:00) — тариф: 80 тенге/кВт·ч до 20 кВт·ч. Свыше 20 кВт·ч тариф: 90 тенге/кВт·ч 
🌞 День (08:00 - 18:00) — тариф: 95 тенге/кВт·ч
⏰ Пик (18:00 - 20:00) — тариф: 110 тенге/кВт·ч до 30 мин.  > 20 кВт.  Дольше 30 мин. < 20 кВт тариф: 130 тенге /кВт·ч
🌆 Вечер (20:00 - 00:00) — тариф: 95 тенге/кВт·ч

🔺 Тариф повышается при медленной зарядке более 30 минут (до 20 кВт). ⏳ Дайте другим зарядиться быстрее! 🚗⚡","часто пропадает связь"
"Ресторан Champagne №1","ABB","ac-3","22","Socket Type 2","отсутствует","Самал-3 25, Almaty 050000, Kazakhstan","43.227858","76.952063","🌐 Универсальная зарядка 22кВт - зарядит любой электрокар.
🚗 Все стандарты кабеля для подключения -  в наличие у Администрации.
🚀 Бесплатно для гостей ресторана
*если Вы не гость ресторана: 
- зарядная сессия ч/з приложение Qasqir по тарифу;
- кабель для подключения используйте собственный.","[100 KZT] Champagne клиенты БЕСПЛАТНО","","необходим свой кабель зарядный и если кто-то хочет зарядится бесплатно, необходимо на входе у сотрудников попросить запустить сессию
но только для клиентов ресторана"
"Ресторан Champagne №2","ABB","ac-3","22","Socket Type 2","отсутствует","Самал-3 25, Almaty 050000, Kazakhstan","43.227861","76.952101","🌐 Универсальная зарядка 22кВт - зарядит любой электрокар.
🚗 Все стандарты кабеля для подключения -  в наличие у Администрации.
🚀 Бесплатно для гостей ресторана
*если Вы не гость ресторана: 
- зарядная сессия ч/з приложение Qasqir по тарифу;
- кабель для подключения используйте собственный.","[100 KZT] Champagne клиенты БЕСПЛАТНО","","необходим свой кабель зарядный и если кто-то хочет зарядится бесплатно, необходимо на входе у сотрудников попросить запустить сессию
но только для клиентов ресторана"
"Ресторан Champagne №3","ABB","ac-3","22","Socket Type 2","отсутствует","Самал-3 25, Almaty 050000, Kazakhstan","43.227862","76.952144","🌐 Универсальная зарядка 22кВт - зарядит любой электрокар.
🚗 Все стандарты кабеля для подключения -  в наличие у Администрации.
🚀 Бесплатно для гостей ресторана
*если Вы не гость ресторана: 
- зарядная сессия ч/з приложение Qasqir по тарифу;
- кабель для подключения используйте собственный.","[100 KZT] Champagne клиенты БЕСПЛАТНО","","необходим свой кабель зарядный и если кто-то хочет зарядится бесплатно, необходимо на входе у сотрудников попросить запустить сессию
но только для клиентов ресторана"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Дополнение:","","","","","","","","","","","",""
"на станция переменного тока (медленные) по каждой фазе подается только третья часть от максимальной мощности","","","","","","","","","","","",""
"поэтому, если электромобиль принимает только по одной фазе, он не сможет получать макс мощность станции, он получает только макс мощность одной фазы","","","","","","","","","","","",""
"CCS2 - европейский стандарт подключения","","","","","","","","","","","",""
"GBT - китайский стандарт подключения","","","","","","","","","","","",""
"Type 2 - европейский стандарт подключения","","","","","","","","","","","",""
"кабельные подключения не предполагают переходники","","","","","","","","","","","",""
"Socket порты, дают возможность использовать кабель-переходник  Type2 -> на стандарт порта у электромобиля","","","","","","","","","","","",""
"для станций с портом Socket - требуется наличие у клиента кабеля подключения электромобиля к станции","","","","","","","","","","","",""
"ac - станция переменного тока (медленная) ЭЭ передается по отдельным фазам в кабеле","","","","","","","","","","","",""
"dc - станция постоянного тока (быстрая) ЭЭ передается по одному несущему проводу с напряжением от 400 V до 1000 V","","","","","","","","","","","",""
"очень важно иметь ввиду, что на станции поддерживающей стандарт передачи ЭЭ при напряжении 1000 В, в млектромобиль может передаваться максимальная мощность станции за единицу времени","","","","","","","","","","","",""
"Однако, если ЭМ не поддерживает такой стандарт, то и максимальная мощность от станции при передаче никогда не будет достигнута","","","","","","","","","","","",""
"Т.е. если клиент с низковольтовым зарядным портом приедет на быструю станцию, он будет получать заряд в половину мощности, т.е. согласно стандартам порта","","","","","","","","","","","",""
"Эти особенности необходимо учитывать, когда Клиент ""жалуется"" что станция не выдает ему 180 кВт к примеру","","","","","","","","","","","",""
"также, общая мощность станции распределяется между подключениями на портах","","","","","","","","","","","",""
"т.е. если один ЭМ подключен к станции, он может получать максимум из допустимой для ЭЭ от станции, но если подключился второй ЭМ, то общая мощность распределяется пропорционально требованиям и возможностям подключенных ЭМ","","","","","","","","","","","",""
"Ограничения подачи мощности также могут иметь место, когда общая суммарная мощность станций на локации ограничена","","","","","","","","","","","",""
"например, когда на локации установлено 2 станции с суммарной мощностью 360 кВт, а локация ограничена мощностью в 300 кВт","","","","","","","","","","","",""
"при подключении одного ЭМ к одной станции может получать максимальную мощность станции, но при подключении второго ЭМ суммарная мощность будет ограничена 300 кВт","","","","","","","","","","","",""
"соответственно, каждый из ЭМ будет получать 150 кВт","","","","","","","","","","","",""
"и т.д. - это как пример, в реальности факторов много, например, ограничения порта ЭМ по максимальной мощности","","","","","","","","","","","",""
